AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,All Students,11,234,6.8,68.8,16.7,7.7
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,Historically Underperforming,11,80,3.8,61.3,22.5,12.5
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,All Students,11,137,8.8,33.6,40.1,17.5
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,Historically Underperforming,11,102,7.8,29.4,41.2,21.6
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,All Students,11,138,15.9,32.6,28.3,23.2
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,Historically Underperforming,11,102,12.7,30.4,31.4,25.5
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,All Students,11,139,5.0,66.2,23.7,5.0
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,Historically Underperforming,11,103,1.9,66.0,25.2,6.8
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,All Students,11,40,5.0,30.0,57.5,7.5
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,Historically Underperforming,11,33,3.0,27.3,60.6,9.1
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,All Students,11,40,7.5,32.5,37.5,22.5
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,Historically Underperforming,11,33,3.0,33.3,36.4,27.3
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,All Students,11,39,2.6,53.8,35.9,7.7
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,Historically Underperforming,11,32,0.0,56.3,34.4,9.4
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,All Students,11,39,2.6,25.6,53.8,17.9
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,Historically Underperforming,11,39,2.6,25.6,53.8,17.9
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,All Students,11,39,12.8,25.6,38.5,23.1
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,Historically Underperforming,11,39,12.8,25.6,38.5,23.1
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,All Students,11,39,0.0,51.3,38.5,10.3
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,Historically Underperforming,11,39,0.0,51.3,38.5,10.3
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,All Students,11,127,14.2,48.0,29.9,7.9
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,Historically Underperforming,11,44,9.1,22.7,50.0,18.2
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,All Students,11,132,27.3,42.4,24.2,6.1
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,Historically Underperforming,11,47,17.0,27.7,40.4,14.9
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,All Students,11,131,16.8,55.0,19.1,9.2
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,Historically Underperforming,11,47,8.5,44.7,29.8,17.0
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,All Students,11,99,9.1,31.3,28.3,31.3
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,11,53,9.4,30.2,24.5,35.8
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,All Students,11,102,12.7,35.3,25.5,26.5
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,11,56,8.9,35.7,23.2,32.1
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,All Students,11,102,2.0,40.2,40.2,17.6
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,Historically Underperforming,11,56,1.8,35.7,42.9,19.6
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,All Students,11,182,6.0,61.0,27.5,5.5
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,Historically Underperforming,11,63,1.6,38.1,46.0,14.3
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,All Students,11,177,20.9,48.6,18.1,12.4
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,Historically Underperforming,11,63,6.3,44.4,27.0,22.2
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,All Students,11,166,5.4,71.1,18.1,5.4
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,Historically Underperforming,11,54,1.9,53.7,31.5,13.0
103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Algebra I,All Students,11,16,12.5,18.8,18.8,50.0
103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Algebra I,Historically Underperforming,11,15,13.3,20.0,13.3,53.3
103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Biology,All Students,11,13,15.4,7.7,30.8,46.2
103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Biology,Historically Underperforming,11,12,16.7,8.3,33.3,41.7
103023807,000005016,ALLEGHENY,FORBES RD CAREER & TECH CTR,FORBES RD CAREER & TECH CTR,Literature,All Students,11,15,0.0,33.3,26.7,40.0
